,sec,p0,p1,p2,mag
164,3739439472,-1.3631004953715993,-5.983457111132565,20000,4.07
165,3739471931,-1.3631010044729492,-5.983457263768987,20000,4.05
166,3739474542,-1.3631009030075998,-5.983457021579608,20000,4.38
167,3739499843,-1.3631000953093388,-5.983457142580388,20000,3.89
168,3739545131,-1.363100873587493,-5.983457254734367,20000,4.05
169,3739591986,-1.3630987588657992,-5.983457287588581,20000,4.04
170,3739705150,-1.3631004809101601,-5.983457227734842,20000,4.01
171,3739710049,-1.363100873587493,-5.983457254734367,20000,4.07
172,3739789815,-1.3630993026937779,-5.9834571476758915,20000,4.51
173,3739814720,-1.3631003356394493,-5.983457335393946,20000,4.54
174,3739815420,-1.3631004447950215,-5.983457519311811,20000,4.29
175,3739920958,-1.363100888293037,-5.983457138148794,20000,4.68
176,3740110478,-1.363099495208599,-5.983457748794288,20000,4.36
177,3740923221,-1.3631002119618807,-5.983457268134948,20000,3.95
178,3741521066,-1.3631003643908464,-5.983457102161938,20000,3.85
179,3742170768,-1.363100240559264,-5.983457034908155,10000,4.57
180,3743404257,-1.3631001308794752,-5.983456851084002,10000,3.84
181,3743793625,-1.3631003552970393,-5.983456102655594,10000,4.32
182,3744415037,-1.3630998004661512,-5.9834562998368295,10000,3.58
183,3744438099,-1.3631016036347512,-5.983456717457323,10000,4.27
184,3744459720,-1.363102446046421,-5.983456365142599,10000,4.0
185,3744463515,-1.3631021674465549,-5.9834564630587606,10000,4.01
186,3744465072,-1.3631016263774092,-5.983456542750115,10000,4.45
187,3744465491,-1.3631017654015012,-5.983456493683558,10000,3.92
188,3744469865,-1.3631019045061437,-5.983456444644151,10000,4.13
189,3744471975,-1.3631019045061437,-5.983456444644151,10000,4.09
190,3744475377,-1.3631017730304154,-5.9834564354629585,10000,4.47
191,3744490663,-1.3631017349097612,-5.98345672660699,10000,4.14
192,3744499473,-1.3631018968363267,-5.983456502861902,10000,4.17
193,3744514522,-1.3631018968363267,-5.983456502861902,10000,4.24
194,3744575140,-1.3631014949761855,-5.983456533609417,10000,4.54
195,3744602525,-1.363099267467061,-5.9834563226062425,10000,4.27
196,3744620421,-1.363102693282636,-5.983456500097007,10000,4.11
197,3744683961,-1.3631003265601203,-5.983456335620232,10000,3.93
198,3744834445,-1.3631023145036647,-5.9834563558860525,10000,3.95
199,3745399757,-1.3631002978582605,-5.983456568650645,10000,4.26
200,3745455286,-1.3631001665035316,-5.983456559689826,10000,4.28
201,3745644679,-1.3631003122048124,-5.983456452127207,10000,4.22
202,3745995926,-1.3631001950417463,-5.983456326648218,10000,4.13
203,3746123494,-1.3631015355342426,-5.983457241800616,10000,4.32
204,3746258932,-1.363100393177226,-5.983456868995257,10000,3.97
205,3746302226,-1.3631003265601203,-5.983456335620232,10000,4.29
206,3746308947,-1.3631001593743963,-5.983456617960438,10000,4.3
207,3746311862,-1.363099793451165,-5.983456358099426,10000,4.81
208,3746313805,-1.3631004147900223,-5.983456694163169,10000,3.92
209,3746333246,-1.363099323290207,-5.983456972703769,10000,4.03
210,3746399725,-1.3631000351453806,-5.983456550746373,10000,3.89
211,3746407386,-1.3631001593743963,-5.983456617960438,10000,4.0
212,3746475427,-1.3631020205591762,-5.983456570276722,10000,4.8
213,3746485519,-1.3631001237611355,-5.983456909375122,10000,3.97
214,3746745354,-1.3630997164256218,-5.983456999258297,10000,4.26
215,3746787944,-1.3630998474641016,-5.983457008144639,10000,4.11
216,3746818252,-1.3631000668918898,-5.983457375850843,10000,4.13
217,3746843670,-1.363099625722374,-5.9834577576273,10000,4.17
218,3746918722,-1.3631004075835573,-5.983456752436452,10000,4.31
219,3747070031,-1.3630997178113569,-5.98345588319199,10000,3.89
220,3747147869,-1.3630997374073284,-5.983456824347738,10000,4.18
221,3747165373,-1.3631001736348234,-5.983456501423247,10000,4.16
222,3747254022,-1.3631003193813682,-5.983456393871684,10000,4.18
223,3747551790,-1.3631021984775635,-5.983456230251687,10000,4.26
224,3747578309,-1.3631020359781936,-5.983456453842748,10000,4.69
225,3747667541,-1.3631015884848023,-5.983456833949349,10000,4.27
226,3748358413,-1.3631020205591762,-5.983456570276722,10000,4.02
227,3748869609,-1.3631018891689157,-5.983456561083749,10000,5.01
228,3748987725,-1.3631015733443015,-5.9834569504578,10000,4.22
229,3749248162,-1.3631022062414462,-5.983456172060246,10000,4.02
230,3749303523,-1.36310193520954,-5.9834562118144445,10000,4.02
231,3749537859,-1.3631020745682867,-5.983456162830086,10000,4.12
232,3749617858,-1.3631014723561077,-5.983456708325047,10000,4.12
233,3749761031,-1.3631020128533093,-5.98345662849988,10000,4.22
234,3750713469,-1.3631025009849966,-5.983455957871262,10000,4.02
235,3750732261,-1.3631018891689157,-5.983456561083749,10000,4.96
236,3750852312,-1.363101641551019,-5.983456426299233,10000,4.32
237,3750963873,-1.3631023067061978,-5.983456414087073,10000,4.02
238,3751006895,-1.3631021829571572,-5.983456346646961,10000,3.92
239,3751153150,-1.3631011378840332,-5.9834562151392685,10000,4.12
240,3751310339,-1.36310147989379,-5.983456650082411,10000,4.03
241,3751321806,-1.3631018891689157,-5.983456561083749,10000,3.97
242,3751328892,-1.3631017196781985,-5.983456843093393,10000,4.14
243,3751405482,-1.3631019505757427,-5.983456095424387,10000,4.09
244,3751452806,-1.363101224702307,-5.983456573620363,10000,4.14
245,3751472636,-1.3630997584079527,-5.98345664947392,10000,3.86
246,3751544559,-1.3631020668454013,-5.983456221024351,10000,3.88
247,3751634164,-1.3631021596949302,-5.983456521270863,10000,4.19
248,3751637766,-1.3631018279161295,-5.983457027006792,10000,4.42
249,3751760239,-1.3631017577749944,-5.983456551908217,10000,4.46
250,3751767106,-1.3631020514069332,-5.983456337425299,10000,3.94
251,3751768232,-1.3631015430915578,-5.983457183523872,10000,4.04
252,3751794631,-1.3631016643292548,-5.983456251653805,10000,3.92
253,3751824241,-1.3631017730304154,-5.9834564354629585,10000,4.04
254,3751842908,-1.3631018571067268,-5.98345579530941,10000,4.19
255,3751889560,-1.3631023379108815,-5.9834561813078615,10000,4.06
256,3752014496,-1.3631015327233726,-5.983456242499024,10000,4.08
257,3752014740,-1.3631021984775635,-5.983456230251687,10000,4.02
258,3752026107,-1.3630999643590287,-5.983457133664746,10000,3.97
259,3752060409,-1.3631023457182296,-5.983456123123367,10000,3.89
260,3752274485,-1.3631021984775635,-5.983456230251687,10000,3.96
261,3752457062,-1.3631020128533093,-5.98345662849988,10000,4.86
