sec	p0	p1	p2	mag
3339465423.73	649420.3259	1752194.6176	2614.258	1.44
3339452933.1	651034.0241	1753256.882	5600	2.64
3339416831.7	648004.8738	1752267.2369	5701.904	2.24
3339405267.72	647530.2104	1751822.8628	5306.396	1.72
3339403021.55	647758.3612	1754636.5201	3110	1.3
3339401903.73	644922.326	1746024.7674	12080	1.45
3339390124.41	647848.3136	1751025.6534	7185.059	1.67
3339381826.25	647422.387	1751491.2163	6624.756	1.49
3339379250.2	647400.4711	1757142.1628	13292.969	1.48
3339377955.69	648778.2262	1751563.6603	5440	1.86
3339374446.85	649857.7111	1755664.7397	1520	1.89
3339372679.24	647940.0288	1751053.9179	7086.182	2.17
3339372522.52	650482.138	1753031.8837	4870	2.1
3339370625.82	648998.911	1750587.7902	14200	2.71
3339369661.96	648839.271	1748634.3962	7877.197	1.82
3339369500.68	648610.0649	1749845.6642	7811.279	2.23
3339369299.87	653977.8281	1765068.0273	6380.859	2.19
3339369259.54	648937.692	1750289.0845	7415.771	1.91
3339368900.71	649481.86	1753135.849	6670	2.04
3339368751.96	648540.5464	1749293.8602	5042.725	2.24
3339368204.69	648462.1505	1750768.5754	9480	2.54
3339367664.49	649663.2174	1752712.8403	6000	1.75
3339367486.03	647801.1867	1753548.827	750	1.85
3339367395.51	649175.2674	1750483.7354	6394.043	2.59
3339367258.38	647974.7379	1751329.7633	5679.443	2.07
3339366808.43	644990.1477	1767848.0323	5042.725	4.1
3339366230.45	648604.2796	1750672.6995	4581.299	2.28
3339365450.93	648604.2796	1750672.6995	4119.873	2.2
3339330534.07	649331.0288	1751835.6423	1351.318	2.13
3339322603.2	647700.3315	1748571.1312	4119.873	2.02
3339322448.5	658999.1581	1741208.2317	15523.682	2.48
3339312364.41	648886.1016	1754146.0698	2520	2
3339308668.21	658665.8002	1738972.7749	14040.527	2.33
3339237079.8	657046.3487	1739292.1037	2043.457	2.27
3339198205.82	646979.7859	1751708.6113	6097.412	2.55
3339141843.79	645933.8891	1749050.2088	12392.578	1.45
3339137812.51	646768.0033	1750499.3205	2930	1.14
3339128650.66	644972.8681	1754802.7912	6000	1.6
3339063824.48	650673.1165	1741397.1975	27026.367	1.86
3339031572.37	648264.7594	1749319.4817	7360.352	1.66
3339021252.9	658263.0219	1738055.4465	13590	2
3339021175.81	658426.5992	1738435.1184	14027.344	1.2
3338840087	648176.9876	1748739.8984	12359.619	2.72
3338800778.31	658713.3476	1740048.283	13348.389	1.82
3338800636.29	657682.0843	1742935.6411	7558.105	1.19
3338792861.49	647955.0458	1751522.5988	9096.68	1.67
3338726837.67	649744.6899	1750515.4021	7063.721	1.73
3338676607.88	656087.2235	1744964.3637	12524.414	2.07
3338671315.98	660390.6138	1736751.907	2471.924	2.37
3338610766.96	663076.1161	1739004.1021	9667.48	1.85
3338602026.64	648205.0986	1749953.0849	6558.838	2.6
3338551782.3	655527.6938	1746118.2099	13908.691	1.78
3338415872.06	649056.9499	1749021.8779	3328.857	2.08
3338413367.9	648798.1998	1749240.5714	4713.135	3.08
3338372519.84	651105.0412	1747851.065	11776.855	1.78
3338343949.23	646805.7135	1755511.5532	6690.674	2.33
3338342480.17	649374.0547	1750953.8604	5108.643	2.17
3338341924.83	649247.9053	1750594.5309	5471.191	2.25
3338340647.95	649128.3351	1752617.1146	7150	2.41
3338338321.41	649108.7358	1752875.1211	5740	1.65
3338338306.17	648444.2487	1750786.935	7210	1.5
3338315821.65	645589.8037	1755943.9905	4690.674	1.49
3338203716.48	658578.782	1738282.9347	13018.799	2.57
3338194195.61	644609.0314	1756901.7954	5646.484	1.79
3338023791.07	647767.5873	1753235.1479	4120	2.03
3338004882.3	647453.6299	1752263.391	2647.217	2.04
3338003788.46	648291.7755	1753261.7286	296.631	2.1
3338002756.31	648132.8486	1752350.843	461.426	1.43
3338002616.52	647751.0965	1751769.2127	1944.58	3.29
3338002607.35	646371.2491	1748376.0168	1460	2.13
3338002274.63	646486.5313	1752599.7307	5620	2.46
3338002252.19	647077.6988	1750854.7427	3405.273	1.83
3338002209.94	648292.1402	1753206.5189	1087.646	2.45
3338002101.48	648695.7871	1753241.2756	2690	2.13
3338001980.26	648715.3969	1752964.7914	610	2.89
