sec	lat	lon	z	mag
3336637237.82	15.833696	-61.613892	10217.285	2.01
3336612875.96	15.857856	-61.625744	8206.787	2.06
3336526225.38	15.766947	-61.552801	13117.676	2.47
3336471471.24	15.822013	-61.525195	32.959	2.97
3336328268.25	15.633157	-61.498092	10975.342	1.83
3336328171.31	15.633157	-61.500149	9854.736	2.96
3336304429.66	15.641379	-61.507519	2043.457	2.28
3336271211.24	15.842658	-61.626936	12062.988	2.47
3336191034.23	15.801167	-61.528	10480	1.34
3336164342.54	15.630415	-61.519174	7844.238	2.66
3336012367.16	15.732066	-61.552792	7316.895	2.42
3336010304.09	15.734667	-61.524333	14190	2.35
3336009256.46	15.732559	-61.571655	7514.648	2.21
3336002597.16	15.731069	-61.554164	9162.598	2.5
3335965520	15.817529	-61.522107	32.959	2.63
3335955186.64	15.832954	-61.602741	6822.51	2.74
3335954264.24	15.835699	-61.590561	3889.16	1.97
3335954187.61	15.839697	-61.555564	2043.457	2.03
3335948848.41	15.837948	-61.573577	2010.498	2.2
3335948349.42	15.840669	-61.6187	5471.191	2.04
3335948243.34	15.874539	-61.642055	65.918	1.78
3335947937.6	15.837437	-61.605488	5240.479	2.48
3335947510.28	15.832704	-61.602912	6789.551	2.04
3335929627.55	15.820761	-61.561048	10876.465	2.09
3335925783.66	15.834695	-61.609089	8898.926	2.3
3335866100	15.815781	-61.544579	2020.996	2.18
3335865904.16	15.818773	-61.535659	1120.605	2.16
3335863201.49	15.866823	-61.630897	6690.674	2.33
3335862125.58	15.861341	-61.632609	7745.361	2.79
3335813002.6	15.854116	-61.63209	7514.648	1.93
3335805334.39	15.896918	-61.700074	527.344	2.08
3335778489.68	15.931864	-61.597811	12788.086	2.85
3335775129.63	15.849171	-61.491399	-417.969	2.32
3335773987.91	15.772431	-61.54011	8041.992	1.64
3335689764.89	15.817757	-61.599474	725.098	2.65
3335655407.54	15.769693	-61.490201	2010.498	2.68
3335624315.38	15.575667	-61.8345	75780	2.04
3335550377.04	15.847641	-61.626939	5734.863	2.76
3335546726.67	15.827724	-61.598106	5866.699	1.91
3335536618.24	15.824241	-61.584037	1977.539	2.08
3335526349.8	15.993372	-61.649516	4647.217	2.31
3335368358.89	15.730076	-61.469111	140207.52	3.09
3335227022.99	15.759667	-61.277167	27000	2.97
3335226772.76	15.709146	-61.541813	8503.418	2.63
3335225448.59	15.783833	-61.4185	27000	3.13
3335225199.26	15.707402	-61.541298	8074.951	2.85
3335204845.36	15.734062	-61.536331	2043.457	2.24
3335203646.76	15.727335	-61.537873	5306.396	2.24
3335191773.29	15.721353	-61.547474	8734.131	2.24
3335187893.47	15.722597	-61.557934	9360.352	2.02
3335187052.45	15.804304	-61.597752	1977.539	2.29
3335168357.3	15.703157	-61.575417	14172.363	2.51
3335166254.38	15.725841	-61.526555	5108.643	2.63
3335163439.85	15.72908	-61.526041	8635.254	3.25
3335151361.91	15.99587	-61.63853	4713.135	3.02
3335149163.17	15.986657	-61.630112	5537.109	2.87
3335149099.33	15.756984	-61.537707	4416.504	2.99
