sec	p0	p1	p2	mag
3617532077.86	1003557.7494	6372546.7516	12000	0.9
3617478213.83	989083.2532	6373421.0476	0	0.8
3617405068.13	994235.899	6382557.0195	2000	0.9
3617399422.88	994564.0933	6382350.0062	0	1
3617391399.08	990107.7818	6396042.5429	10000	0.9
3617322332.95	1002077.6656	6386711.005	9000	1.5
3617227371.43	996179.618	6395326.0631	12000	1
3617209620.72	994203.2853	6381554.6202	0	1.3
3617188191.74	992532.8239	6379808.4084	0	1.1
3617139355	996201.0124	6383094.3376	8000	0.8
3617072525.4	995688.203	6422435.5023	7000	0.9
3617046078.92	997769.0555	6385281.5691	12000	0.9
3617033109.23	997080.6559	6384692.8705	5000	1.4
3617031167.23	989584.5032	6381562.1481	5000	0.6
3616959692.8	993558.8018	6383414.9517	13000	0.6
3616957375.71	991804.0947	6381776.1946	6000	0.3
3616957351.61	993484.5612	6383300.2709	19000	0.8
3616928668.76	974532.6988	6387112.1958	10000	1
3616925901.25	982726.0899	6394148.0844	12000	1.7
3616907699.85	981155.0939	6393743.769	15000	1.8
3616907322.78	974373.8638	6392553.4757	12000	0.9
3616906848.07	975666.1492	6390275.2557	10000	0.9
3616873857.3	995931.5242	6375296.8922	0	1.2
3616787051.37	955654.1903	6328829.644	9000	1.1
3616782787.57	992522.7816	6385145.8357	8000	0.7
3616781826.98	996297.7338	6386101.5361	11000	1.2
3616755264.88	996022.046	6385198.85	18000	1.4
3616755226.2	996652.0752	6385339.8335	12000	1.4
3616752120.09	998425.6333	6386536.0918	15000	1.7
3616741411.7	996678.9733	6386453.1898	13000	1.4
3616734381.72	995286.4507	6385608.9957	13000	1.3
3616671881.07	993038.6349	6429982.6203	8000	0.6
3616663782.91	990871.2278	6381288.0547	21000	0.7
3616660968.56	999574.1007	6387480.5509	12000	0.6
3616641055.34	1013193.7809	6399935.6214	11000	1.1
3616637583.45	1003355.0358	6391554.8429	22000	1
3616634718.75	999579.545	6385701.4416	14000	1.3
3616633792	999505.1621	6388922.9854	20000	1.5
3616633770.8	999928.5258	6388387.1831	10000	0.5
3616632523.25	1001198.4344	6388448.0856	21000	1.3
3616626512.99	990986.0425	6383962.2936	0	0.2
3616625332.09	993989.9509	6386104.1017	6000	0.6
3616624404.03	1017295.7721	6384793.3943	9000	0.7
3616624336.56	997510.5394	6389050.3899	7000	0.9
3616623843.55	998171.6206	6386857.6333	15000	0.8
3616623097.54	997160.0723	6384696.6333	0	0.7
3616621463.46	993049.4248	6382390.2741	0	1.2
3616621379.64	994670.8541	6383467.0981	9000	2.5
3616540250.99	995174.6473	6384602.8649	0	0.8
3616514412.32	992306.6622	6381243.5581	0	0.3
3616483821.74	1000791.4328	6386982.7926	11000	1.5
3616480899.88	1000590.0878	6387862.8238	12000	1.6
3616353987.67	993944.1201	6381987.3033	0	0.9
3616353788.76	991987.5723	6384676.0716	0	0.4
3616353702.07	994869.6493	6387702.3043	20000	1.3
3616353692.15	993646.3681	6386644.0278	13000	1.2
3616335389.62	990909.5218	6382179.4708	0	0.5
3616327867.51	998044.4918	6386184.3319	11000	1.1
3616326507.36	994824.502	6383585.5262	0	1
3616286428.33	993802.8964	6378199.6097	1000	0.5
3616278299.83	993256.6343	6383067.1972	0	0.6
3616235673.38	998917.8622	6386225.9124	12000	1.4
3616234948.98	991617.3038	6380655.4507	0	1.2
3616189039.94	996884.426	6383793.9039	14000	0.9
3616183282.04	993901.0532	6381206.8319	0	0.8
3616168447.74	1005251.4979	6398319.7193	0	0.4
3616154365.98	991753.5136	6379438.5111	0	0.7
3616133716.68	1001945.6025	6386148.5791	12000	1.2
3616126720.41	990722.5916	6381058.7556	0	0.3
3616113296.44	986076.5836	6435329.2216	5000	1.1
3616100132.04	987238.1421	6378896.6285	0	0.8
3616093581.07	999742.9849	6390602.4992	12000	1.2
3616092842.35	1000023.5116	6389726.25	9000	1.3
3616048963.87	998981.3839	6386562.5718	9000	1.3
3616026509.01	990866.0835	6381399.0215	0	0.8
3616022554.9	989925.3661	6382801.135	8000	0.9
3615969487.53	989953.6017	6380467.1494	10000	0.8
3615965129.13	993413.9102	6381406.4472	0	1.4
3615965015.14	990409.8772	6380933.0692	16000	1.4
3615883837.57	989507.6763	6383226.6573	8000	0.8
3615882189.43	995472.3658	6386729.8264	14000	0.8
3615881944.51	982617.6596	6378909.2867	15000	1.1
3615877818.1	986407.0088	6435010.8751	5000	0.6
3615864789.84	1000525.7534	6390862.4187	3000	1.1
3615864758.26	999853.8659	6391608.6874	12000	1.3
3615863422.47	1000356.4371	6391076.7179	7000	1
3615860244.62	998235.3498	6388862.4259	9000	1.2
3615857813.73	993693.1466	6385645.3677	0	1
3615856288.26	990530.0476	6383496.3375	9000	0.8
3615855938.48	991096.3674	6383300.1864	0	1
3615855897.61	1003015.0374	6393651.4023	12000	1.5
3615855624.04	999293.7059	6385020.5257	16000	1.9
3615855622.63	1000575.2758	6383191.2151	6000	1.4
3615852261.73	1000959.1344	6391772.9035	11000	1.5
3615840124.71	992864.6294	6382937.6761	0	0.8
3615839558.44	1000606.0515	6387529.9562	12000	1.5
3615838041.52	995795.1636	6386633.8419	12000	1.1
3615829212.46	999484.1163	6387698.6711	11000	2.3
3615800825.68	999457.7397	6386585.3081	18000	1.1
3615785539.66	997964.7782	6384512.3978	0	0.8
3615767286.53	988325.5057	6379502.503	10000	1
3615758258.18	994741.0474	6385360.9199	10000	0.9
3615676898.05	990827.191	6383954.9254	10000	0.7
3615667849.41	998462.4121	6384091.2201	6000	2.1
3615487064.9	998991.9274	6384672.4969	9000	0.9
3615381495.11	1017097.3507	6350745.7698	7000	0.9
3615328674.2	993466.8054	6387080.4404	11000	0.9
3615312088.49	997631.3034	6384830.1909	12000	1.1
3615292244.06	994028.7713	6381880.0625	8000	1.4
3615185679.47	993047.7128	6380722.0897	0	1.3
3615180655.8	998012.5558	6385181.9275	2000	0.9
3615133336.89	996936.2144	6417824.5573	3000	1.8
3615116310.9	992474.4218	6384476.3487	7000	1.7
3615071908.36	996847.6588	6384570.6278	0	1.1
3615063010.06	992923.3392	6383385.2423	7000	1.4
3615043090.34	998425.7767	6388204.2381	16000	1.5
3614968222.34	999415.4975	6384136.6501	11000	1.5
3614947531.53	990071.2929	6384809.5456	0	0.9
3614905956.53	992628.0821	6384594.7224	11000	0.8
3614887154.08	985235.4898	6434734.6809	3000	1.2
3614674708.19	1005768.231	6368093.8137	7000	1
3614655711.3	1000315.1072	6386959.9549	13000	1.4
3614604956.03	996704.5716	6384230.2293	9000	1.2
3614597417.31	996462.4549	6387666.2321	0	0.8
3614579921.52	998700.9051	6387438.879	14000	1.5
3614549319.41	1002162.4044	6386603.876	9000	1.3
3614536188.98	992410.5239	6384139.7529	5000	1.1
3614531569.51	991086.0677	6383522.1175	0	1
3614486710.37	994761.911	6384917.0726	0	1.1
3614480204.21	992650.5269	6385819.027	0	1.1
3614476060.41	993031.9781	6386170.4589	13000	1.4
3614469831.41	995436.6677	6389174.6872	0	1.2
3614468965.03	994424.6483	6387014.1501	5000	3.4
3614452117.5	992795.5495	6382712.0387	9000	1
3614341982.94	994111.9797	6380104.6334	0	1.2
3614304940.45	992804.1343	6380821.926	9000	0.8
3614300861.83	995146.3159	6381821.3292	8000	0.6
3614300369.06	998134.1655	6384298.028	8000	1.6
3614245116.03	989351.2523	6381440.1826	4000	0.7
3614219564.54	997317.8154	6381367.8097	9000	1.3
3614195196.05	982017.0884	6374545.4833	13000	0.8
3614173494.06	956914.6511	6438169.4585	0	1
3614123022.17	989468.9577	6378887.9085	16000	1.2
3614114984.4	993742.1319	6381199.3899	5000	1.2
3614110261.07	993272.1979	6382734.305	3000	1.5
3614076475.08	991870.6017	6388896.3757	13000	1.1
3614074446.61	993326.5471	6390076.3967	14000	1.3
3614050470.17	995751.5004	6384185.2113	0	1.3
3613882266.46	1004544.9736	6391612.5824	14000	0.9
3613867116	998917.883	6387894.061	11000	1.3
3613865871.06	1000257.5335	6383175.9969	8000	1.2
3613829277.33	989861.3079	6382464.5631	0	1
3613793353.93	992581.4805	6385593.3946	8000	1.2
3613783662.6	999747.9875	6392159.6637	11000	1.1
3613782038.18	1000515.1083	6391084.3275	8000	1.3
3613781964.58	1000091.427	6393288.1964	20000	1.4
3613781920.04	998732.6737	6391777.5331	12000	1.2
3613770359.66	992608.9767	6381591.2694	0	1.4
3613744688.56	989656.213	6386903.2049	7000	0.6
3613744257.33	999097.5148	6392462.1922	13000	1.5
3613708982.27	996860.8123	6392689.3966	15000	1.3
3613707119.96	995156.772	6390051.1427	11000	1.5
3613694360.48	989048.7573	6381092.6284	0	0.9
3613667539.82	999568.6119	6389259.6471	9000	1.5
3613652037.24	999632.2643	6387928.1718	8000	1.6
3613641246.75	998986.6757	6386451.614	11000	1.6
3613525236.86	1000833.542	6387763.293	13000	1.2
3613498896.06	1015987.0327	6352136.1478	10000	1.1
3613439964.05	1011762.9905	6387185.2086	1000	1.3
3613373861.09	992997.5885	6383499.9165	0	0.8
3613336781.68	996981.7772	6390137.381	0	1.4
3613328476.36	998028.3764	6384849.0499	6000	1.3
3613312437.81	995672.0775	6384181.4663	0	1.4
3613235437.66	975686.6951	6409622.4991	6000	0.3
3613229103.19	990097.1508	6380807.3984	8000	1.3
3613218442.24	994455.9182	6386348.3819	5000	1.2
3613099802.02	991097.0596	6379852.854	0	0.9
3613088266.34	990466.372	6379712.4262	2000	0.9
3613070767.5	999780.1447	6389825.8114	8000	1.4
3612958452.26	996329.924	6387103.9276	4000	1.1
3612940390.8	999902.4666	6385605.668	12000	1.6
3612800607.76	989471.662	6380556.1034	12000	0.9
3612742934.78	1007708.0346	6398440.0407	9000	1.1
3612681077.84	996002.6667	6388978.9842	14000	1.3
3612679093.02	999356.8793	6390361.6204	9000	1.5
3612617397.19	993213.5023	6382286.7342	3000	0.9
3612600389.12	989136.0744	6382653.501	5000	0.6
3612588386.69	995648.5692	6389740.7116	14000	1.1
3612585925.09	991177.9453	6384972.0384	20000	0.6
3612578091.05	1004340.8194	6389267.1807	2000	0.5
3612562529.33	996377.8293	6387773.4374	10000	1.4
3612562334.78	995419.1177	6386171.2815	12000	3.6
3612542226.39	994803.8243	6392481.0302	10000	0.8
3612509192.03	996061.0587	6389426.5689	9000	1.6
3612464063.8	991170.9031	6436121.5435	0	0.8
3612458078.81	992362.8052	6435955.0804	0	0.6
3612435363.8	990804.352	6382730.6184	10000	1.3
3612412494.63	999727.7434	6385930.9464	13000	1.3
3612394845.32	991481.1252	6381872.3868	0	0.5
3612378411.86	992747.176	6382042.5427	0	1
3612327926.26	999298.9546	6386577.7253	13000	1.1
3612272281.43	995308.3572	6386833.3051	10000	1.3
3612251292.99	998298.7156	6387530.9353	11000	1.4
3612185299.99	995903.2521	6380967.3089	2000	0.8
3612084471.03	993662.6712	6381195.6703	0	0.8
3612064467.24	985812.4385	6416971.409	7000	1.1
3612031304.61	1001075.7881	6391000.0388	12000	1.5
3611987625.06	997013.3334	6389471.6339	16000	1.3
3611983085.79	993376.1925	6407648.4493	13000	0.8
3611983028.54	986877.7691	6411016.03	12000	0.4
3611959527.93	998526.418	6391100.4526	0	0.8
3611945457.61	1000887.6945	6383317.4071	0	1.2
3611847348.26	999177.1943	6387461.594	8000	1.3
3611804964.43	978812.329	6367730.4384	0	0.9
3611781396.67	988716.1225	6384858.2077	0	0.6
3611781268.26	997399.9157	6391380.4932	7000	1.2
3611772740.84	995311.4004	6405293.2221	13000	0.9
3611772518.05	1004481.7424	6410848.7722	4000	1.8
3611764919.52	993792.2296	6390320.6239	0	0.4
3611753328.83	996061.7566	6391094.6945	11000	1.5
3611735208.72	999991.404	6406961.7477	0	3.6
3611735073.02	996738.9774	6391905.1808	16000	1.4
3611728620.56	989994.2983	6386474.0263	8000	0.8
3611691191.21	999780.4657	6369807.4042	16000	1
3611686736.68	1001822.6966	6388700.5422	7000	1.1
3611635084.68	996973.7182	6381907.5648	1000	1
3611604052.61	992062.0772	6395021.4147	10000	2
3611551643.26	1000081.6076	6390173.8711	0	0.9
3611515663.59	997674.5325	6388946.9698	6000	1.6
3611414439.01	997108.899	6390810.6499	15000	1.1
3611389470.22	997805.9407	6384504.8528	10000	1.2
3611356918.09	996415.8444	6390332.9946	14000	0.9
3611339589.71	993982.1557	6389662.3058	0	0.7
3611324978.37	993344.3767	6386296.2735	4000	1.1
3611311921.26	996029.6037	6390092.3208	7000	1.8
3611259128.4	996992.7348	6391583.5882	10000	0.8
3611239763.28	999658.3361	6390709.659	12000	1.5
3611239269.43	998854.3824	6389225.5435	11000	1.6
3611209413.15	1000346.6416	6387962.3641	11000	1.6
3611167210.94	990788.2349	6386510.8022	0	0.8
3611167010.04	999018.4314	6387454.0183	7000	1.1
3611161504.69	996789.8819	6385791.1891	0	0.9
3611149567.03	998573.7098	6385097.4122	7000	2.9
3611122122.33	990327.2892	6386155.8301	7000	0.9
3611099887.53	1000198.8343	6386064.6964	7000	1.5
3611079802.02	999246.0419	6386019.1473	8000	2.2
3611077831.13	996706.9484	6390902.8067	9000	1.5
3611072989.18	996447.3416	6389667.2452	5000	1.7
3611058651.05	990608.8712	6386947.2967	9000	1.8
3611058646.32	990757.3529	6387176.5876	13000	1.4
3611003171.61	996782.7716	6422709.9148	0	2.2
3610966626.98	992981.6822	6388948.2227	6000	0.9
3610965781.89	995934.5323	6390421.4479	9000	1.6
3610963094.23	996723.2079	6392238.0519	19000	1.2
3610956307.28	991297.5762	6387535.2785	0	1.3
3610948625.8	998542.2872	6392435.7019	9000	1.9
3610948311.05	992997.2454	6388615.3379	9000	1.8
3610943650.81	992029.328	6388903.7703	13000	1.3
3610939042.92	997161.9202	6391369.1987	15000	1.9
3610934719.14	999426.0363	6385582.8979	12000	1.1
3610914506.43	1004055.8385	6409827.1648	3000	0.9
3610734891.62	999299.0019	6384909.5675	10000	1.3
3610473275.48	1000738.1922	6388092.3505	8000	1.7
3610380834.9	1000045.3461	6385946.1377	7000	1.8
3610344355.1	991081.6181	6380185.7555	0	1.3
3610287448.66	999743.4744	6387266.2272	10000	1.5
3610198058.15	998960.1851	6385338.2475	8000	1.4
3610168122.59	994006.5094	6380655.7324	0	0.7
3610142894.07	998928.4664	6387672.1466	10000	1.2
3609927863.91	993356.8283	6382627.0555	7000	1.4
3609771433.74	996615.3279	6386116.5537	11000	1.2
3609757086.08	995153.7556	6385046.7115	10000	1.3
3609711250.07	999208.9989	6385127.694	9000	1.4
3609677981.94	996620.5775	6386005.5938	9000	2.1
3609664700.46	990143.155	6383256.0206	0	1.2
3609645517.01	995962.7021	6383083.0886	10000	1.4
3609619091.26	1002928.4482	6388865.1071	11000	1.4
3609614159.02	999854.1862	6389940.5639	9000	1.4
3609567692.3	988909.9021	6404771.6632	5000	2
3609543912.06	999679.5647	6390265.8376	14000	1.1
3609480881.1	996011.5692	6385420.7714	12000	3.1
3609427889.94	999701.0282	6388153.8798	11000	1.4
3609290012.85	997212.6531	6383587.0302	20000	1.2
3609180313.48	997293.9018	6390263.3907	12000	1.5
3609138806.72	989869.0057	6380574.4457	0	0.9
3609077342.04	996329.1978	6385435.7745	10000	1.7
3609068535.6	993928.5228	6382320.1949	8000	0.9
3609063162.41	994945.6712	6382701.5595	8000	1.2
3609053406.18	999277.8179	6385353.4	7000	1.5
3609034243.98	987751.9111	6381589.0338	17000	1.2
3609015455.93	994604.2801	6386577.7647	10000	1.6
3608984753.61	998213.8423	6385969.9658	10000	2.5
3608976050.44	997505.2716	6389161.3477	0	1.3
3608969866.09	988526.0523	6382069.3991	3000	1.1
3608965522.89	997134.7756	6388587.7309	11000	0.8
3608949296.16	998081.9001	6388743.9166	7000	1.5
3608947434.5	997229.9294	6388258.6195	9000	1.4
3608946878.24	1001178.2684	6385555.609	0	1
3608941577.39	998880.8297	6387002.6167	12000	1.2
3608925289.6	995561.2747	6384843.491	0	0.9
3608894364.84	990824.9292	6382286.7535	9000	1.2
3608878239.13	993748.8446	6382756.6075	6000	0.9
3608811251.12	999214.266	6386684.8929	0	1
3608808690.91	992249.7967	6382464.177	6000	1
3608787279.67	959517.1244	6334435.8894	4000	1.5
